layer,matrix,head,kv_group,sigma1,stable_rank,er99,er999,head_rms_raw,exact
0,G,0,0,3.0038018226623535,6.992,125,128,5.979669e-03,
0,G,1,0,2.7654356956481934,7.846,125,128,5.940543e-03,
0,G,2,0,3.422234296798706,5.749,125,128,6.113159e-03,
0,G,3,0,2.904103994369507,6.259,125,128,5.500852e-03,
0,G,4,0,2.5583958625793457,9.518,125,128,5.975933e-03,
0,G,5,0,2.8764896392822266,7.692,126,128,6.080530e-03,
0,G,6,0,3.403700828552246,5.987,125,128,6.228020e-03,
0,G,7,0,3.3452885150909424,5.821,125,128,6.001475e-03,
0,G,8,0,3.2935409545898438,5.935,125,128,6.006838e-03,
0,G,9,0,3.1243371963500977,7.037,126,128,6.303259e-03,
0,G,10,0,2.3762333393096924,10.965,125,128,5.976595e-03,
0,G,11,0,2.5349466800689697,8.08,124,128,5.459077e-03,
0,G,12,0,2.6263318061828613,7.615,125,128,5.515887e-03,
0,G,13,0,2.8622477054595947,7.466,125,128,5.927757e-03,
0,G,14,0,2.3644847869873047,10.597,125,128,5.936334e-03,
0,G,15,0,3.196587085723877,6.71,126,128,6.251224e-03,
0,G,16,1,3.662343740463257,5.396,125,128,6.332457e-03,
0,G,17,1,3.811692476272583,5.218,125,128,6.469085e-03,
0,G,18,1,2.929546594619751,7.626,124,128,6.140394e-03,
0,G,19,1,3.783540964126587,4.99,125,128,6.268818e-03,
0,G,20,1,3.517629623413086,5.8,125,128,6.342303e-03,
0,G,21,1,3.8359479904174805,4.898,125,128,6.271032e-03,
0,G,22,1,3.278062105178833,5.627,125,128,5.779844e-03,
0,G,23,1,3.944599151611328,5.093,125,128,6.603709e-03,
0,G,24,1,3.2700603008270264,6.902,126,128,6.502509e-03,
0,G,25,1,2.9996845722198486,7.797,126,128,6.413565e-03,
0,G,26,1,3.007401704788208,7.722,125,128,6.377451e-03,
0,G,27,1,3.5007073879241943,6.299,126,128,6.646415e-03,
0,G,28,1,3.3814127445220947,6.082,125,128,6.265880e-03,
0,G,29,1,2.9566361904144287,6.995,125,128,5.960820e-03,
0,G,30,1,4.1528754234313965,4.218,125,128,6.195406e-03,
0,G,31,1,3.0592379570007324,7.095,125,128,6.147545e-03,
0,K,0,0,4.693175792694092,3.509,113,124,6.130504e-03,
0,K,1,1,3.097212553024292,6.941,117,126,6.127475e-03,
0,O,0,0,1.351468801498413,16.551,124,128,5.956726e-03,
0,O,1,0,1.066631555557251,26.351,124,128,5.931926e-03,
0,O,2,0,1.005063533782959,32.489,124,128,6.206455e-03,
0,O,3,0,0.9506711363792419,32.187,124,128,5.843260e-03,
0,O,4,0,1.6541062593460083,10.859,122,127,5.905429e-03,
0,O,5,0,1.3195900917053223,17.445,125,128,5.971198e-03,
0,O,6,0,1.1581159830093384,24.656,123,128,6.230122e-03,
0,O,7,0,1.2750627994537354,18.844,124,128,5.996572e-03,
0,O,8,0,1.1995470523834229,20.797,124,128,5.926599e-03,
0,O,9,0,1.1557835340499878,24.068,125,128,6.143018e-03,
0,O,10,0,2.403223752975464,4.389,124,128,5.454504e-03,
0,O,11,0,1.3731725215911865,15.307,122,128,5.820325e-03,
0,O,12,0,1.4494134187698364,14.257,124,128,5.929081e-03,
0,O,13,0,1.3519821166992188,17.088,122,128,6.054766e-03,
0,O,14,0,1.3529679775238037,16.514,123,128,5.956535e-03,
0,O,15,0,1.0734201669692993,28.103,125,128,6.164940e-03,
0,O,16,1,1.0661489963531494,30.648,125,128,6.394414e-03,
0,O,17,1,1.1916433572769165,24.464,124,128,6.385559e-03,
0,O,18,1,1.5230375528335571,13.264,125,128,6.009517e-03,
0,O,19,1,1.094178318977356,28.747,124,128,6.355793e-03,
0,O,20,1,1.498479962348938,15.03,122,127,6.293750e-03,
0,O,21,1,1.0394659042358398,31.063,124,128,6.276515e-03,
0,O,22,1,1.2139697074890137,20.345,124,128,5.932247e-03,
0,O,23,1,0.8663278818130493,47.297,125,128,6.454798e-03,
0,O,24,1,1.2716999053955078,20.897,124,128,6.298164e-03,
0,O,25,1,1.1468708515167236,26.002,125,128,6.335807e-03,
0,O,26,1,1.2384587526321411,22.969,124,128,6.430380e-03,
0,O,27,1,1.008980393409729,33.926,125,128,6.366970e-03,
0,O,28,1,1.107145071029663,27.334,124,128,6.271091e-03,
0,O,29,1,1.1123212575912476,26.143,124,128,6.161598e-03,
0,O,30,1,1.1513702869415283,25.81,124,128,6.337088e-03,
0,O,31,1,1.5128545761108398,14.354,121,127,6.209712e-03,
0,Q,0,0,2.388953685760498,10.566,122,128,6.063377e-03,
0,Q,1,0,3.227065086364746,5.861,122,128,5.909062e-03,
0,Q,2,0,2.1284396648406982,13.625,122,128,6.162645e-03,
0,Q,3,0,3.6308488845825195,4.87,120,127,6.036369e-03,
0,Q,4,0,4.291722297668457,3.477,121,127,5.741244e-03,
0,Q,5,0,2.3353683948516846,11.209,121,127,6.124149e-03,
0,Q,6,0,2.269761323928833,11.976,122,128,6.187832e-03,
0,Q,7,0,2.3518226146698,11.064,123,128,6.103104e-03,
0,Q,8,0,2.246776580810547,12.301,123,128,6.170952e-03,
0,Q,9,0,1.8588669300079346,17.411,121,127,6.141928e-03,
0,Q,10,0,2.745255947113037,8.339,123,128,5.839583e-03,
0,Q,11,0,6.3585662841796875,2.061,115,126,6.017053e-03,
0,Q,12,0,5.335955619812012,2.605,118,127,6.019856e-03,
0,Q,13,0,3.305678367614746,5.653,123,128,5.961456e-03,
0,Q,14,0,4.300477504730225,3.61,121,127,5.952666e-03,
0,Q,15,0,2.3101935386657715,11.501,123,128,6.156296e-03,
0,Q,16,1,1.9655176401138306,16.248,123,127,6.246430e-03,
0,Q,17,1,2.090864419937134,14.285,123,127,6.196624e-03,
0,Q,18,1,3.0231451988220215,6.685,123,128,6.015723e-03,
0,Q,19,1,1.7620141506195068,20.216,123,128,6.268877e-03,
0,Q,20,1,2.52815318107605,9.935,123,127,6.188734e-03,
0,Q,21,1,2.061483383178711,14.858,123,128,6.240966e-03,
0,Q,22,1,2.0379483699798584,14.732,123,128,6.085978e-03,
0,Q,23,1,2.0177552700042725,15.536,124,128,6.256454e-03,
0,Q,24,1,1.405664324760437,32.224,121,127,6.337419e-03,
0,Q,25,1,1.5329428911209106,26.54,121,127,6.293799e-03,
0,Q,26,1,2.9051389694213867,7.477,123,128,6.236980e-03,
0,Q,27,1,1.8620588779449463,18.116,122,128,6.250495e-03,
0,Q,28,1,1.8618065118789673,18.322,122,128,6.275220e-03,
0,Q,29,1,2.738218307495117,8.345,123,127,6.204560e-03,
