layer,object,n_sigmas,sigma1,er99,er999
0,G_stacked,4096,5.234668254852295,3351,3936
0,K_stacked,256,1.387872576713562,225,248
0,O_stacked,4096,4.675442218780518,3328,3901
0,QK_stacked_key,256,5.493528366088867,210,241
0,QK_stacked_query,4096,4.312575817108154,2682,3494
0,Q_stacked,4096,4.969407558441162,3145,3811
0,VO_stacked_read,256,3.9150989055633545,243,254
0,VO_stacked_write,4096,4.606566905975342,3289,3876
0,V_stacked,256,1.2157199382781982,245,255
0,gate_proj_full,4096,16.888673782348633,3367,3941
0,k_proj_full,256,5.535321235656738,228,249
0,o_proj_full,4096,5.8187079429626465,3412,3940
0,q_proj_full,4096,14.9181489944458,3353,3927
0,v_proj_full,256,1.3290448188781738,246,255
1,G_stacked,4096,4.247863292694092,3400,3953
1,K_stacked,256,1.2167936563491821,236,252
1,O_stacked,4096,4.915670394897461,3334,3912
1,QK_stacked_key,256,4.801619529724121,223,249
1,QK_stacked_query,4096,3.1030430793762207,2905,3682
1,Q_stacked,4096,3.154782295227051,3297,3905
1,VO_stacked_read,256,3.1018283367156982,243,254
1,VO_stacked_write,4096,4.639513969421387,3253,3864
1,V_stacked,256,1.067589282989502,246,255
1,gate_proj_full,4096,9.791025161743164,3401,3953
1,k_proj_full,256,2.6054248809814453,237,252
1,o_proj_full,4096,6.185705184936523,3420,3948
1,q_proj_full,4096,5.53750467300415,3328,3920
1,v_proj_full,256,0.9196156859397888,246,255
2,G_stacked,4096,3.9326303005218506,3488,3977
2,K_stacked,256,1.2765891551971436,239,253
2,O_stacked,4096,3.8619186878204346,3317,3885
2,QK_stacked_key,256,5.01958703994751,229,250
2,QK_stacked_query,4096,3.1250181198120117,3078,3759
2,Q_stacked,4096,3.492990732192993,3322,3915
2,VO_stacked_read,256,2.888056755065918,247,255
2,VO_stacked_write,4096,3.7443137168884277,3344,3902
2,V_stacked,256,1.042631983757019,249,255
2,gate_proj_full,4096,9.041284561157227,3495,3979
2,k_proj_full,256,2.2611210346221924,239,253
2,o_proj_full,4096,4.813014030456543,3473,3962
2,q_proj_full,4096,5.201354503631592,3434,3955
2,v_proj_full,256,0.8620486855506897,249,255
3,G_stacked,4096,4.906616687774658,3454,3965
3,K_stacked,256,1.2098172903060913,242,253
3,O_stacked,4096,4.920093536376953,3393,3933
3,QK_stacked_key,256,4.807239055633545,240,253
3,QK_stacked_query,4096,2.6843576431274414,3180,3853
3,Q_stacked,4096,3.6505544185638428,3426,3954
3,VO_stacked_read,256,3.1326398849487305,240,253
3,VO_stacked_write,4096,4.605152130126953,3255,3848
3,V_stacked,256,1.039029598236084,245,255
3,gate_proj_full,4096,12.648369789123535,3461,3968
3,k_proj_full,256,2.5132601261138916,246,253
3,o_proj_full,4096,5.953248977661133,3428,3946
3,q_proj_full,4096,6.1165337562561035,3506,3981
3,v_proj_full,256,1.1530109643936157,245,255
4,G_stacked,4096,4.065978527069092,3437,3955
4,K_stacked,256,1.118255376815796,227,248
4,O_stacked,4096,4.113676071166992,3301,3902
4,QK_stacked_key,256,4.491310119628906,199,236
4,QK_stacked_query,4096,2.704883575439453,2523,3384
4,Q_stacked,4096,3.236633777618408,2989,3684
4,VO_stacked_read,256,3.066838264465332,242,253
4,VO_stacked_write,4096,3.8486039638519287,3240,3851
4,V_stacked,256,1.0759880542755127,245,254
4,gate_proj_full,4096,8.61108684539795,3435,3954
4,k_proj_full,256,3.471374988555908,233,251
4,o_proj_full,4096,4.907098770141602,3343,3911
4,q_proj_full,4096,7.1008992195129395,3295,3872
4,v_proj_full,256,0.8596792817115784,245,253
5,G_stacked,4096,3.9964182376861572,3433,3962
5,K_stacked,256,1.137682557106018,237,252
5,O_stacked,4096,4.017100811004639,3247,3883
5,QK_stacked_key,256,4.502198696136475,226,250
5,QK_stacked_query,4096,2.9103798866271973,2951,3719
5,Q_stacked,4096,2.9756181240081787,3282,3899
5,VO_stacked_read,256,3.407654047012329,240,254
5,VO_stacked_write,4096,3.869148015975952,3167,3832
5,V_stacked,256,1.0927075147628784,247,255
5,gate_proj_full,4096,9.45639419555664,3446,3965
5,k_proj_full,256,1.85332453250885,236,252
5,o_proj_full,4096,5.023628234863281,3387,3938
5,q_proj_full,4096,4.82688045501709,3375,3935
5,v_proj_full,256,0.9119506478309631,248,255
6,G_stacked,4096,3.242189645767212,3454,3968
6,K_stacked,256,1.1841769218444824,238,253
6,O_stacked,4096,3.7344863414764404,3129,3832
