layer,matrix,shape,rms,ratio_to_target,head_rms_min,head_rms_max,head_max_over_min,row_norm_cv
0,self_attn.q_proj,"(4096, 6656)",0.0061291661113500595,1.000087603322418,0.0057412441819906235,0.006337419152259827,1.103840727091753,0.16981367766857147
0,self_attn.k_proj,"(256, 6656)",0.00612898962572217,1.0000588064052827,0.0061274743638932705,0.006130503956228495,1.0004944275822802,0.2566853165626526
0,self_attn.v_proj,"(256, 6656)",0.006129288114607334,1.000107510426084,0.005716483574360609,0.006515991874039173,1.1398601586584616,0.10687302052974701
0,self_attn.gate_proj,"(4096, 6656)",0.006129160523414612,1.0000866915466775,0.005459077190607786,0.006646414287388325,1.2174977666231437,0.0830862894654274
0,self_attn.o_proj,"(6656, 4096)",0.006129261571913958,1.0001031794913169,0.005454502068459988,0.006454795598983765,1.1833886059568766,0.17094649374485016
0,mlp.gate_proj,"(19968, 6656)",0.006129267625510693,1.000104167248369,nan,nan,nan,0.09714063256978989
0,mlp.up_proj,"(19968, 6656)",0.0061291721649467945,1.0000885910794701,nan,nan,nan,0.0838225856423378
0,mlp.down_proj,"(6656, 19968)",0.006129125598818064,1.0000809929482997,nan,nan,nan,0.16835829615592957
1,self_attn.q_proj,"(4096, 6656)",0.006129150744527578,1.0000850959391316,0.005830819718539715,0.0063723172061145306,1.0928681581172999,0.14641514420509338
1,self_attn.k_proj,"(256, 6656)",0.006128907669335604,1.000045433694423,0.00596531992778182,0.006288240663707256,1.0541330121158334,0.24674077332019806
1,self_attn.v_proj,"(256, 6656)",0.006129344925284386,1.0001167801461117,0.0056223818100988865,0.006597466301172972,1.173429077570407,0.12986543774604797
1,self_attn.gate_proj,"(4096, 6656)",0.006129158195108175,1.0000863116401189,0.00437382934615016,0.006758288014680147,1.5451649984078106,0.10689675807952881
1,self_attn.o_proj,"(6656, 4096)",0.0061292219907045364,1.0000967210798222,0.005724429618567228,0.006362996529787779,1.1115511856673639,0.17830556631088257
1,mlp.gate_proj,"(19968, 6656)",0.0061292219907045364,1.0000967210798222,nan,nan,nan,0.08890283107757568
1,mlp.up_proj,"(19968, 6656)",0.006129198707640171,1.0000929220142372,nan,nan,nan,0.06512747704982758
1,mlp.down_proj,"(6656, 19968)",0.00612915214151144,1.0000853238830667,nan,nan,nan,0.1504507213830948
2,self_attn.q_proj,"(4096, 6656)",0.006129130255430937,1.0000817527614168,0.0056104762479662895,0.006351875141263008,1.1321454472898738,0.12720035016536713
2,self_attn.k_proj,"(256, 6656)",0.006129253655672073,1.000101887809018,0.006049554329365492,0.006207930389791727,1.026179789750371,0.1997341364622116
2,self_attn.v_proj,"(256, 6656)",0.006129421293735504,1.000129241081231,0.005823374725878239,0.0064208973199129105,1.1026076153710953,0.09023219347000122
2,self_attn.gate_proj,"(4096, 6656)",0.00612916424870491,1.000087299397171,0.004999964497983456,0.0066711739636957645,1.334244266411557,0.09279006719589233
2,self_attn.o_proj,"(6656, 4096)",0.006129223853349686,1.000097025005069,0.0055792913772165775,0.006436784751713276,1.15369216563923,0.13448140025138855
2,mlp.gate_proj,"(19968, 6656)",0.0061291661113500595,1.000087603322418,nan,nan,nan,0.05019795894622803
2,mlp.up_proj,"(19968, 6656)",0.006129181012511253,1.0000900347243924,nan,nan,nan,0.03685632348060608
2,mlp.down_proj,"(6656, 19968)",0.006129139568656683,1.000083272387651,nan,nan,nan,0.13542774319648743
3,self_attn.q_proj,"(4096, 6656)",0.006129137706011534,1.000082968462404,0.005695505067706108,0.006262888666242361,1.0996195406362388,0.103431336581707
3,self_attn.k_proj,"(256, 6656)",0.006129113957285881,1.0000790934155073,0.006114956457167864,0.006143239326775074,1.0046251955848446,0.10320758074522018
3,self_attn.v_proj,"(256, 6656)",0.006129048764705658,1.000068456031869,0.005677441600710154,0.006549590267241001,1.1536164927564831,0.1599382907152176
3,self_attn.gate_proj,"(4096, 6656)",0.006129255518317223,1.0001021917342647,0.004891770891845226,0.006861202884465456,1.402601028577064,0.1364351063966751
3,self_attn.o_proj,"(6656, 4096)",0.006129175890237093,1.0000891989299636,0.005679796915501356,0.006523897405713797,1.148614554845916,0.16978412866592407
3,mlp.gate_proj,"(19968, 6656)",0.0061291796155273914,1.0000898067804573,nan,nan,nan,0.0755084753036499
3,mlp.up_proj,"(19968, 6656)",0.006129196844995022,1.0000926180889902,nan,nan,nan,0.05203067511320114
3,mlp.down_proj,"(6656, 19968)",0.006129157729446888,1.0000862356588072,nan,nan,nan,0.12183689326047897
4,self_attn.q_proj,"(4096, 6656)",0.006129071116447449,1.0000721031348305,0.005087506026029587,0.006587567739188671,1.2948520759453073,0.20762218534946442
4,self_attn.k_proj,"(256, 6656)",0.00612875958904624,1.0000212716373016,0.005889866966754198,0.006358683109283447,1.0795970681809144,0.20461241900920868
4,self_attn.v_proj,"(256, 6656)",0.006128987297415733,1.000058426498724,0.005461163353174925,0.006730874069035053,1.232498212147777,0.15821178257465363
4,self_attn.gate_proj,"(4096, 6656)",0.006129092071205378,1.000075522293857,0.004943340551108122,0.00681583397090435,1.3787911029873274,0.13947856426239014
4,self_attn.o_proj,"(6656, 4096)",0.006129169836640358,1.0000882111729115,0.005610968917608261,0.00656033493578434,1.169198231556192,0.12439992278814316
4,mlp.gate_proj,"(19968, 6656)",0.006129145622253418,1.0000842601447029,nan,nan,nan,0.05501397326588631
4,mlp.up_proj,"(19968, 6656)",0.006129174958914518,1.0000890469673402,nan,nan,nan,0.03730781003832817
4,mlp.down_proj,"(6656, 19968)",0.006129157729446888,1.0000862356588072,nan,nan,nan,0.13449718058109283
5,self_attn.q_proj,"(4096, 6656)",0.006129166577011347,1.0000876793037297,0.005442263558506966,0.006630077958106995,1.2182574193312121,0.16400399804115295
5,self_attn.k_proj,"(256, 6656)",0.00612904317677021,1.0000675442561284,0.0060851117596030235,0.006172662600874901,1.0143877129509926,0.30680346488952637
5,self_attn.v_proj,"(256, 6656)",0.006129205692559481,1.0000940617339127,0.005659100133925676,0.006565738003700972,1.1602088403313633,0.11090454459190369
5,self_attn.gate_proj,"(4096, 6656)",0.006129169370979071,1.0000881351915998,0.004838474560528994,0.006819812580943108,1.4094964219874895,0.10443876683712006
5,self_attn.o_proj,"(6656, 4096)",0.006129201501607895,1.0000933779021073,0.005595272872596979,0.0064764912240207195,1.1574933647542973,0.1426098495721817
5,mlp.gate_proj,"(19968, 6656)",0.006129163783043623,1.0000872234158593,nan,nan,nan,0.08337992429733276
5,mlp.up_proj,"(19968, 6656)",0.006129194982349873,1.0000923141637434,nan,nan,nan,0.0535137765109539
5,mlp.down_proj,"(6656, 19968)",0.006129182409495115,1.0000902626683275,nan,nan,nan,0.12766724824905396
6,self_attn.q_proj,"(4096, 6656)",0.006129169836640358,1.0000882111729115,0.005822469945997,0.006346512120217085,1.0900034142005952,0.14194411039352417
6,self_attn.k_proj,"(256, 6656)",0.00612913491204381,1.0000825125745338,0.00608755461871624,0.006170434877276421,1.013614704713345,0.21083474159240723
6,self_attn.v_proj,"(256, 6656)",0.0061293612234294415,1.0001194394920212,0.005857642740011215,0.00638953410089016,1.0908029704928583,0.08811769634485245
6,self_attn.gate_proj,"(4096, 6656)",0.006129094865173101,1.0000759781817274,0.005200694780796766,0.006667386740446091,1.2820184651221969,0.09651383757591248
6,self_attn.o_proj,"(6656, 4096)",0.0061292583122849464,1.000102647622135,0.005710752680897713,0.006384917069226503,1.1180517570974224,0.11108975112438202
6,mlp.gate_proj,"(19968, 6656)",0.006129208952188492,1.0000945936030945,nan,nan,nan,0.09794551134109497
6,mlp.up_proj,"(19968, 6656)",0.006129203364253044,1.000093681827354,nan,nan,nan,0.06505392491817474
6,mlp.down_proj,"(6656, 19968)",0.006129193585366011,1.0000920862198084,nan,nan,nan,0.1085842028260231
7,self_attn.q_proj,"(4096, 6656)",0.006129143759608269,1.0000839562194561,0.005423480179160833,0.006582481786608696,1.2137007178345018,0.12468326836824417
7,self_attn.k_proj,"(256, 6656)",0.006129381712526083,1.000122782669736,0.006031660363078117,0.0062255701050162315,1.0321486506642688,0.11160247772932053
7,self_attn.v_proj,"(256, 6656)",0.006128881126642227,1.0000411027596559,0.0054912269115448,0.006706175394356251,1.221252645789802,0.13924144208431244
7,self_attn.gate_proj,"(4096, 6656)",0.006129034329205751,1.000066100611206,0.005139177665114403,0.007258250843733549,1.412337015122822,0.1386437714099884
7,self_attn.o_proj,"(6656, 4096)",0.006129224319010973,1.0000971009863806,0.0056083668023347855,0.006719863973557949,1.1981855342914522,0.11935091018676758
7,mlp.gate_proj,"(19968, 6656)",0.006129205226898193,1.000093985752601,nan,nan,nan,0.09677784889936447
7,mlp.up_proj,"(19968, 6656)",0.006129194051027298,1.00009216220112,nan,nan,nan,0.06527499854564667
7,mlp.down_proj,"(6656, 19968)",0.006129203364253044,1.000093681827354,nan,nan,nan,0.10635843873023987
