layer,matrix,head,kv_group,sigma1,stable_rank,er99,er999,head_rms_raw,exact
0,Q,0,0,0.08694968372583389,5.744,115,123,2.467585e-02,
0,Q,1,0,0.12120591849088669,3.013,114,122,2.486759e-02,
0,Q,2,0,0.07654722779989243,8.814,112,121,2.741622e-02,
0,Q,3,0,0.0977427214384079,4.373,115,123,2.432176e-02,
0,Q,4,1,0.03622632101178169,43.461,122,126,2.891623e-02,
0,Q,5,1,0.07077956944704056,6.499,119,123,2.161030e-02,
0,Q,6,1,0.03408419340848923,49.311,121,126,2.897437e-02,
0,Q,7,1,0.031549274921417236,57.721,121,126,2.902918e-02,
0,Q,8,2,0.0832257866859436,6.605,119,124,2.557504e-02,
0,Q,9,2,0.05109664425253868,13.341,118,123,2.248945e-02,
0,Q,10,2,0.029878972098231316,64.665,121,126,2.911911e-02,
0,Q,11,2,0.03274138644337654,54.282,122,126,2.921298e-02,
0,Q,12,3,0.07384762167930603,8.419,117,123,2.576093e-02,
0,Q,13,3,0.03665793314576149,40.911,120,126,2.842133e-02,
0,Q,14,3,0.03779197111725807,38.544,120,126,2.844455e-02,
0,Q,15,3,0.05655230954289436,10.934,116,122,2.246076e-02,
0,Q,16,4,0.03454790264368057,47.729,120,126,2.890372e-02,
0,Q,17,4,0.031112687662243843,58.418,120,125,2.882806e-02,
0,Q,18,4,0.05057195574045181,14.54,119,124,2.320464e-02,
0,Q,19,4,0.037687577307224274,40.118,120,126,2.888896e-02,
0,Q,20,5,0.032571811228990555,52.882,121,126,2.872226e-02,
0,Q,21,5,0.08837661892175674,4.832,117,123,2.335125e-02,
0,Q,22,5,0.050713516771793365,11.821,117,123,2.095499e-02,
0,Q,23,5,0.035585880279541016,44.658,120,126,2.882612e-02,
0,Q,24,6,0.04979130998253822,22.354,118,125,2.845870e-02,
0,Q,25,6,0.1027248278260231,3.276,118,124,2.221730e-02,
0,Q,26,6,0.07181402295827866,6.024,116,122,2.112448e-02,
0,Q,27,6,0.10625682771205902,3.719,116,123,2.407071e-02,
0,Q,28,7,0.04093537479639053,12.485,118,123,1.738367e-02,
0,Q,29,7,0.11489398032426834,2.836,119,124,2.260221e-02,
