layer,object,n_sigmas,sigma1,er99,er999
0,q_proj_full,4096,0.2751939296722412,2808,3411
0,k_proj_full,1024,0.1481841653585434,915,991
0,v_proj_full,1024,0.06213364005088806,944,1012
0,o_proj_full,4096,13.600508689880371,2821,3477
0,Q_stacked,4096,4.265287399291992,2475,3175
0,K_stacked,1024,2.390552520751953,901,989
0,V_stacked,1024,2.192521095275879,943,1011
0,O_stacked,4096,3.844151020050049,2748,3431
0,VO_stacked_write,4096,3.4834563732147217,2651,3373
0,VO_stacked_read,1024,3.398665428161621,915,999
1,q_proj_full,4096,0.692931592464447,2425,3219
1,k_proj_full,1024,0.26560670137405396,901,1002
1,v_proj_full,1024,0.1137012168765068,942,1013
1,o_proj_full,4096,6.728689670562744,2910,3533
1,Q_stacked,4096,3.958667039871216,2367,3174
1,K_stacked,1024,1.8128819465637207,867,990
1,V_stacked,1024,1.587715983390808,923,1008
1,O_stacked,4096,2.2249646186828613,2865,3505
1,VO_stacked_write,4096,2.0922842025756836,2708,3393
1,VO_stacked_read,1024,2.647852659225464,875,990
2,q_proj_full,4096,0.6702477931976318,2717,3417
2,k_proj_full,1024,0.35383468866348267,932,1012
2,v_proj_full,1024,0.18739527463912964,950,1014
2,o_proj_full,4096,6.559957027435303,2915,3538
2,Q_stacked,4096,3.4196701049804688,2689,3398
2,K_stacked,1024,1.7319481372833252,920,1009
2,V_stacked,1024,1.7156411409378052,947,1014
2,O_stacked,4096,2.0536019802093506,2898,3529
2,VO_stacked_write,4096,1.8662514686584473,2812,3476
2,VO_stacked_read,1024,2.614088535308838,915,1002
3,q_proj_full,4096,0.981537401676178,2634,3365
3,k_proj_full,1024,0.4705272614955902,923,1009
3,v_proj_full,1024,0.24475251138210297,942,1013
3,o_proj_full,4096,6.544623374938965,2895,3526
3,Q_stacked,4096,3.2571184635162354,2593,3341
3,K_stacked,1024,1.902896523475647,899,1002
3,V_stacked,1024,1.7673628330230713,942,1013
3,O_stacked,4096,2.092245578765869,2855,3505
3,VO_stacked_write,4096,2.0428731441497803,2737,3431
3,VO_stacked_read,1024,2.6697795391082764,892,997
4,q_proj_full,4096,1.0863947868347168,2833,3475
4,k_proj_full,1024,0.5178430080413818,946,1012
4,v_proj_full,1024,0.26929017901420593,969,1017
4,o_proj_full,4096,7.523108959197998,2967,3566
4,Q_stacked,4096,3.0092039108276367,2773,3443
4,K_stacked,1024,1.6472904682159424,935,1010
4,V_stacked,1024,1.5229620933532715,967,1017
4,O_stacked,4096,2.405977964401245,2955,3559
4,VO_stacked_write,4096,2.1112117767333984,2891,3521
4,VO_stacked_read,1024,2.4965765476226807,955,1014
5,q_proj_full,4096,1.13988196849823,2811,3466
5,k_proj_full,1024,0.6169009804725647,903,997
5,v_proj_full,1024,0.364332377910614,944,1002
5,o_proj_full,4096,7.864891052246094,2915,3525
5,Q_stacked,4096,3.118352174758911,2713,3409
5,K_stacked,1024,1.7495156526565552,857,969
5,V_stacked,1024,1.8599084615707397,934,999
5,O_stacked,4096,2.3924739360809326,2864,3494
5,VO_stacked_write,4096,2.1272048950195312,2721,3391
5,VO_stacked_read,1024,2.7257885932922363,872,974
6,q_proj_full,4096,1.7035274505615234,2839,3491
6,k_proj_full,1024,0.754828155040741,952,1015
6,v_proj_full,1024,0.33527490496635437,971,1018
6,o_proj_full,4096,9.871248245239258,2963,3564
6,Q_stacked,4096,3.381181240081787,2803,3464
6,K_stacked,1024,2.0254666805267334,948,1014
6,V_stacked,1024,1.4786157608032227,968,1017
6,O_stacked,4096,2.650590181350708,2921,3539
6,VO_stacked_write,4096,2.424237012863159,2879,3518
6,VO_stacked_read,1024,2.1961474418640137,956,1015
7,q_proj_full,4096,2.635540246963501,2743,3437
7,k_proj_full,1024,1.0502444505691528,929,1007
7,v_proj_full,1024,0.5560328960418701,954,1015
7,o_proj_full,4096,6.7975873947143555,2929,3543
7,Q_stacked,4096,3.458838939666748,2728,3428
7,K_stacked,1024,1.6888424158096313,896,996
7,V_stacked,1024,1.5586743354797363,956,1015
7,O_stacked,4096,2.2552292346954346,2891,3521
7,VO_stacked_write,4096,2.166527032852173,2752,3424
7,VO_stacked_read,1024,2.313911199569702,905,1001
8,q_proj_full,4096,2.921548843383789,2805,3459
8,k_proj_full,1024,1.1092497110366821,938,1008
8,v_proj_full,1024,0.6972244381904602,968,1017
8,o_proj_full,4096,6.753199577331543,2957,3558
8,Q_stacked,4096,3.1861283779144287,2793,3452
8,K_stacked,1024,1.6370941400527954,934,1008
8,V_stacked,1024,1.6093775033950806,966,1017
8,O_stacked,4096,2.282123565673828,2924,3538
8,VO_stacked_write,4096,2.2880547046661377,2898,3522
8,VO_stacked_read,1024,2.5216145515441895,953,1013
9,q_proj_full,4096,3.150270938873291,2762,3438
9,k_proj_full,1024,1.0568615198135376,929,1008
9,v_proj_full,1024,0.7106040716171265,950,1014
9,o_proj_full,4096,7.291627883911133,2882,3520
9,Q_stacked,4096,3.1462888717651367,2740,3425
9,K_stacked,1024,1.5354195833206177,923,1004
9,V_stacked,1024,1.5983308553695679,960,1016
9,O_stacked,4096,2.423647880554199,2855,3505
9,VO_stacked_write,4096,2.315364360809326,2816,3484
